lag,corr
-10,0.008415628532885536
-9,0.02291098997765004
-8,0.01876734492064058
-7,0.020743043538203353
-6,0.019027446598445092
-5,0.022466376732298888
-4,0.026051019988581378
-3,0.023680346533617058
-2,0.033415642044033966
-1,0.03439782743855608
0,0.04197808707010154
1,0.03439782743855608
2,0.033415642044033966
3,0.023680346533617058
4,0.026051019988581378
5,0.022466376732298888
6,0.019027446598445092
7,0.020743043538203353
8,0.01876734492064058
9,0.02291098997765004
10,0.008415628532885536
